company_name,RSSD_ID,RefinedAddress,City,State,Pin,webAddress,YearOpened,FiduciaryPowers,EntityType,PowersExercised,MemberFederalReserve,InstitutionType,FederalRegulator,S-Corp,Specialization
Liberty Bank and Trust Company,283438,6600 Plaza Dr,New Orleans,Louisiana,70127,,1972,No,State,No,No,Commercial bank,FDIC,No,Commercial Lending Specialization
State Bank of Belle Plaine,145750,201 West Main Street,Belle Plaine,Minnesota,56011,www.statebankbp.com,1882,No,State,No,No,Commercial bank,FDIC,Yes,Agricultural  Specialization
First National Bank Minnesota,197759,226 Nassau St,Saint Peter,Minnesota,56082,www.fnbmn.com,1857,No,Federal,No,Yes,Commercial bank,OCC,Yes,Commercial Lending Specialization
Century Bank,305648,116 South Blossom Street,Shenandoah,Iowa,51601,,1934,Yes,State,No,No,Commercial bank,FDIC,No,Agricultural  Specialization
The First National Bank in Creston,214843,101 W Adams St,Creston,Iowa,50801,www.fnbcreston.com,1871,Yes,Federal,No,Yes,Commercial bank,OCC,No,Agricultural  Specialization
Farmers State Bank of Watkins,899156,170 Meeker Ave N,Watkins,Minnesota,55389,www.fsbwatkins.com,1914,No,State,No,No,Commercial bank,FDIC,Yes,All Other Specialization  < 1 Billion
Citizens Bank Minnesota,874050,105 N Minnesota St,New Ulm,Minnesota,56073,,1875,No,State,No,No,Commercial bank,FDIC,No,Agricultural  Specialization
MidCoast Community Bank,3592609,4900 Kirkwood Highway,Wilmington,Delaware,19808,www.midcoastbankonline.com,2007,No,State,No,No,Commercial bank,FDIC,No,Commercial Lending Specialization
First Citizens Community Bank,978118,15 S Main St,Mansfield,Pennsylvania,16933,www.firstcitizensbank.com,1932,Yes,State,Yes,Yes,Commercial bank,FED,No,Agricultural  Specialization
Wells Fargo Limited,167565,707 Wilshire Boulevard,Los Angeles,California,90017,www.wellsfargo.com,1985,No,State,No,No,Commercial bank,FDIC,No,Other Specialized Lending < 1 Billion
First State Bank,750154,201 South Weatherford Street,Chico,Texas,76431,www.fsbwise.com,1958,No,State,No,No,Commercial bank,FDIC,Yes,Commercial Lending Specialization
First National Bank,375566,3801 Fairway Blvd,Wichita Falls,Texas,76310,www.fnbwf.com,1986,No,Federal,No,Yes,Commercial bank,OCC,Yes,Commercial Lending Specialization
Victory Community Bank,3153345,"2500 Chamber Center Drive, Suite 100",Fort Mitchell,Kentucky,41017,www.victorycommunitybank.com,2002,No,Federal,No,No,Savings Association,OCC,Yes,Mortgage Lending Specialization
Heartland Bank,853112,430 N Hamilton Rd,Whitehall,Ohio,43213,,1911,No,State,No,Yes,Commercial bank,FED,No,Commercial Lending Specialization
Peoples Bank & Trust Company,282048,101 North Main Street,Owenton,Kentucky,40359,www.peoplesowenton.com,1902,Yes,State,Yes,No,Commercial bank,FDIC,Yes,All Other Specialization  < 1 Billion
Citizens Union Bank of Shelbyville,65746,1854 Midland Trail,Shelbyville,Kentucky,40065,www.cubbank.com,1888,Yes,State,No,No,Commercial bank,FDIC,No,Commercial Lending Specialization
The Missouri Bank II,491251,1601 South Limit,Sedalia,Missouri,65301,www.mymissouribank.com,1891,No,State,No,Yes,Commercial bank,FED,Yes,Commercial Lending Specialization
The Missouri Bank,309150,104 North Highway 47,Warrenton,Missouri,63383,www.themissouribank.com,1934,No,State,No,Yes,Commercial bank,FED,Yes,Commercial Lending Specialization
The First State Bank,627425,660 Central Avenue,Barboursville,West Virginia,25504,www.fsb-wv.com,1905,Yes,State,Yes,No,Commercial bank,FDIC,No,Commercial Lending Specialization
The First State Bank,627425,660 Central Avenue,Barboursville,West Virginia,25504,www.fsb-wv.com,1905,Yes,State,Yes,No,Commercial bank,FDIC,No,Commercial Lending Specialization
"MVB Bank, Inc",2757205,301 Virginia Avenue,Fairmont,West Virginia,26554,www.mvbbanking.com,1999,No,State,No,No,Commercial bank,FDIC,No,Commercial Lending Specialization
Platte Valley Bank of Missouri,701259,2400 Prairie View Road,Platte City,Missouri,64079,www.plattevalleybank.com,1933,Yes,State,No,No,Commercial bank,FDIC,No,Commercial Lending Specialization
Central Bank of the Midwest,704559,609 Ne 291 Hwy,Lees Summit,Missouri,64086,,1985,Yes,State,No,Yes,Commercial bank,FED,No,Commercial Lending Specialization
Gold Coast Bank,3614369,2929 Expressway Drive North,Islandia,New York,11749,www.goldcoastbankny.com,2008,No,State,No,No,Commercial bank,FDIC,No,Commercial Lending Specialization
Investors Bank,35570,101 John F Kennedy Pkwy,Short Hills,New Jersey,7078,www.investorsbank.com,1926,No,State,No,No,Commercial bank,FDIC,No,Commercial Lending Specialization
Southwest Georgia Bank,699534,201 First Street S. E.,Moultrie,Georgia,31768,,1928,Yes,State,Yes,No,Commercial bank,FDIC,No,Commercial Lending Specialization
"The First, A National Banking Association",2385514,6480 Us-98 West,Hattiesburg,Mississippi,39402,www.thefirstbank.com,1996,No,Federal,No,Yes,Commercial bank,OCC,No,Commercial Lending Specialization
First Advantage Bank,62772,1430 Madison Street,Clarksville,Tennessee,37040,www.firstadvantagebanking.com,1953,Yes,State,No,No,Commercial bank,FDIC,No,Commercial Lending Specialization
Reliant Bank,3415463,1736 Carothers Pkwy,Brentwood,Tennessee,37027,www.reliantbank.com,2006,No,State,No,Yes,Commercial bank,FED,No,Commercial Lending Specialization
Roselle Bank,324274,235 Chestnut St,Roselle,New Jersey,7203,,1889,No,State,No,No,Savings bank,FDIC,No,Mortgage Lending Specialization
Columbia Bank,174572,19-01 Route 208,Fair Lawn,New Jersey,7410,www.columbiabankonline.com,1926,No,Federal,No,No,Savings Association,OCC,No,Commercial Lending Specialization
First State Bank,454340,200 Pine Street,Crossett,Arkansas,71635,,1964,No,State,No,No,Commercial bank,FDIC,No,Commercial Lending Specialization
Commercial Capital Bank,2756730,311 Broadway,Delhi,Louisiana,71232,www.comcapbank.com,1999,No,State,No,No,Commercial bank,FDIC,Yes,Agricultural  Specialization
State Bank & Trust Company,736448,916 Highway 82 Bypass,Greenwood,Mississippi,38935,statebank1898.com,1898,No,State,No,No,Commercial bank,FDIC,No,Commercial Lending Specialization
BankPlus,121642,202 Jackson Street,Belzoni,Mississippi,39038,,1909,Yes,State,Yes,No,Commercial bank,FDIC,No,Commercial Lending Specialization
The Citizens Bank,809539,301 South Davis Street,Nashville,Georgia,31639,www.nhcbanking.com,1941,No,State,No,No,Commercial bank,FDIC,Yes,All Other Specialization  < 1 Billion
FIRST COMMERCE CREDIT UNION,522276,PO BOX 6416,TALLAHASSEE,FL,32314,,1940,,,,,Credit Union,NCUA,,
BMO Harris Bank National Association,75633,111 West Monroe Street,Chicago,Illinois,60603,www.bmoharris.com,1947,Yes,Federal,Yes,Yes,Commercial bank,OCC,No,Commercial Lending Specialization
First Bank & Trust,294564,9816 Slide Road,Lubbock,Texas,79424,https://www.firstbanklubbock.com,1934,Yes,State,Yes,No,Commercial bank,FDIC,No,Commercial Lending Specialization
Southern Bank & Trust,3353266,111 Southern Bank Drive,Clarkesville,Georgia,30523,www.sbandt.com,2005,No,State,No,No,Commercial bank,FDIC,No,Commercial Lending Specialization
Pinnacle Bank,366238,884 Elbert St,Elberton,Georgia,30635,www.pinnaclebank.com,1934,No,State,No,No,Commercial bank,FDIC,No,Commercial Lending Specialization
Revere Bank,3610567,"2101 Gaither Road, 6th Floor",Rockville,Maryland,20850,reverebank.com,2007,No,State,No,No,Commercial bank,FDIC,No,Commercial Lending Specialization
Sandy Spring Bank,506922,17801 Georgia Avenue,Olney,Maryland,20832,www.sandyspringbank.com,1900,Yes,State,Yes,Yes,Commercial bank,FED,No,Commercial Lending Specialization
"RECONTRUST COMPANY, NATIONAL ASSOCIATION",3313943,1800 TAPO CANYON ROAD,SIMI VALLEY,CA,93063,www.recontrustco.com,2005,Yes,Non-deposit Trust Company - Member,Yes,Yes,Nondeposit trust company,OCC,No,
"Bank of America, National Association",480228,100 N Tryon St,Charlotte,North Carolina,28202,www.bankofamerica.com,1904,Yes,Federal,Yes,Yes,Commercial bank,OCC,No,All Other Specialization  > 1 Billion
Marquis Bank,3625002,"355 Alhambra Circle, Suite 125",Coral Gables,Florida,33134,www.marquisbank.com,2007,No,State,No,No,Commercial bank,FDIC,No,Commercial Lending Specialization
Professional Bank,3816510,396 Alhambra Cir,Coral Gables,Florida,33134,www.myprobank.com,2008,No,State,No,Yes,Commercial bank,FED,No,Commercial Lending Specialization
H. F. Gehant Banking Co.,274641,2514 Johnson Street,West Brooklyn,Illinois,61378,www.gehantbank.com,1897,No,State,No,No,Commercial bank,FDIC,Yes,Agricultural  Specialization
First State Bank,887340,706-8 Washington Street,Mendota,Illinois,61342,,1940,Yes,State,Yes,No,Commercial bank,FDIC,No,Commercial Lending Specialization
Republic Bank & Trust,1198605,3510 West Robinson,Norman,Oklahoma,73069,www.rbt.com,1988,Yes,State,Yes,No,Commercial bank,FDIC,No,Commercial Lending Specialization
Armstrong Bank,470452,1215 W Okmulgee St,Muskogee,Oklahoma,74401,,1910,No,State,No,No,Commercial bank,FDIC,No,Commercial Lending Specialization
First Bank of the Palm Beaches,3429282,615 North Dixie Highway,West Palm Beach,Florida,33401,,2006,No,State,No,No,Commercial bank,FDIC,No,Commercial Lending Specialization
Seacoast National Bank,34537,815 Colorado Ave,Stuart,Florida,34994,www.seacoastbank.com,1933,Yes,Federal,Yes,Yes,Commercial bank,OCC,No,Commercial Lending Specialization
"Farmers & Merchants Bank, of Orfordville",41245,303 Spring Street,Orfordville,Wisconsin,53576,www.orfordbank.com,1901,No,State,No,Yes,Commercial bank,FED,No,Agricultural  Specialization
The Bank of Brodhead,517441,806 East Exchange Street,Brodhead,Wisconsin,53520,www.bankofbrodhead.com,1896,No,State,No,Yes,Commercial bank,FED,No,Agricultural  Specialization
The Citizens State Bank,919755,402 West Broadway,Okemah,Oklahoma,74859,www.ibankcsb.com,1908,No,State,No,No,Commercial bank,FDIC,Yes,Agricultural  Specialization
BancFirst,1386251,"101 North Broadway, Suite 200",Oklahoma City,Oklahoma,73102,,1989,Yes,State,Yes,No,Commercial bank,FDIC,No,Commercial Lending Specialization
Ennis State Bank,435059,815 West Ennis Avenue,Ennis,Texas,75119,www.ennisstatebank.com,1933,Yes,State,No,No,Commercial bank,FDIC,Yes,Commercial Lending Specialization
Madison Bank of Maryland,310071,1920 Rock Spring Road,Forest Hill,Maryland,21050,www.mbofmd.com,1904,No,Federal,No,No,Savings Association,OCC,No,Mortgage Lending Specialization
BayVanguard Bank,242976,7114 North Point Road,Baltimore,Maryland,21219,www.bayvanguard.com,1873,No,State,No,No,Savings bank,FDIC,No,Mortgage Lending Specialization
Progressive Savings Bank,535874,500 North Main Street,Jamestown,Tennessee,38556,,1980,No,State,No,No,Commercial bank,FDIC,Yes,Commercial Lending Specialization
SmartBank,3532641,"2430 Teaster Lane, Suite 205",Pigeon Forge,Tennessee,37863,www.smartbank.com,2007,Yes,State,No,Yes,Commercial bank,FED,No,Commercial Lending Specialization
State Bank of Arizona,1897270,1771 Mcculloch Boulevard,Lake Havasu City,Arizona,86403,www.mohavestbank.com,1991,No,State,No,No,Commercial bank,FDIC,No,Commercial Lending Specialization
Glacier Bank,2634191,49 Commons Loop,Kalispell,Montana,59901,www.glacierbank.com,1955,Yes,State,No,No,Commercial bank,FDIC,No,Commercial Lending Specialization
Security Bank,641355,"600 N Marienfeld Street, Suite 200",Midland,Texas,79701,www.mysbank.com,1928,No,State,No,No,Commercial bank,FDIC,Yes,Commercial Lending Specialization
American Momentum Bank,3447576,One Momentum Boulevard,College Station,Texas,77845,,2006,No,State,No,No,Commercial bank,FDIC,No,Commercial Lending Specialization
First American Bank,653648,1207 Central Avenue,Fort Dodge,Iowa,50501,,1934,Yes,State,Yes,Yes,Commercial bank,FED,Yes,Commercial Lending Specialization
GREENSTATE CREDIT UNION,225698,PO BOX 800,NORTH LIBERTY,IA,52317,,1938,,,,,Credit Union,NCUA,,
Pioneer Bank,508841,5758 Main Street,Auburndale,Wisconsin,54412,,1910,No,State,No,No,Commercial bank,FDIC,No,Agricultural  Specialization
First State Bank,801047,113 North Water Street,New London,Wisconsin,54961,www.bankfirststate.com,1911,No,State,No,No,Commercial bank,FDIC,No,Agricultural  Specialization
Landmark Bank,103255,801 East Broadway,Columbia,Missouri,65201,www.landmarkbank.com,1865,Yes,State,Yes,No,Commercial bank,FDIC,No,Commercial Lending Specialization
Simmons Bank,663245,501 Main Street,Pine Bluff,Arkansas,71611,www.simmonsbank.com,1903,Yes,State,Yes,Yes,Commercial bank,FED,No,Commercial Lending Specialization
The First National Bank in Staunton,126740,115 South Elm Street,Staunton,Illinois,62088,www.fnbstaunton.com,1934,No,Federal,No,Yes,Commercial bank,OCC,Yes,Commercial Lending Specialization
"Associated Bank, National Association",917742,200 North Adams Street,Green Bay,Wisconsin,54301,www.associatedbank.com,1874,Yes,Federal,Yes,Yes,Commercial bank,OCC,No,Commercial Lending Specialization
Ericson State Bank,145956,427 Central Avenue,Ericson,Nebraska,68637,ericsonstatebank.com,1959,No,State,No,No,Commercial bank,FDIC,No,Agricultural  Specialization
Farmers and Merchants Bank,455552,617 First Street,Milford,Nebraska,68405,www.bankfmb.com,1949,No,State,No,No,Commercial bank,FDIC,No,Agricultural  Specialization
The Farmers National Bank of Scottsville,183846,1595 Veterans Memorial Hwy,Scottsville,Kentucky,42164,www.farmersnationalky.com,1923,No,Federal,No,Yes,Commercial bank,OCC,No,Commercial Lending Specialization
FirstBank,436159,"211 Commerce Street, Suite 300",Nashville,Tennessee,37201,www.firstbankonline.com,1906,Yes,State,Yes,No,Commercial bank,FDIC,No,Commercial Lending Specialization
Bank of Cushing,271752,224 East Broadway,Cushing,Oklahoma,74023,,1897,No,State,No,Yes,Commercial bank,FED,No,Other Specialized Lending < 1 Billion
Blue Sky Bank,517357,101 East 8th Street,Pawhuska,Oklahoma,74056,,1905,No,State,No,Yes,Commercial bank,FED,Yes,Commercial Lending Specialization
First  Ipswich Bank,442806,31 Market Street,Ipswich,Massachusetts,1938,www.firstipswich.com,1892,No,State,No,Yes,Commercial bank,FED,No,Commercial Lending Specialization
Brookline  Bank,782306,2 Harvard Street,Brookline,Massachusetts,2445,www.brooklinebank.com,1871,No,State,No,Yes,Commercial bank,FED,No,Commercial Lending Specialization
The First National Bank of Pawnee,639651,601 Harrison Street,Pawnee,Oklahoma,74058,fnbpawnee.com,1894,No,Federal,No,Yes,Commercial bank,OCC,Yes,Agricultural  Specialization
First Bank & Trust Company,640956,407 7th Street,Perry,Oklahoma,73077,www.bankfbt.com,1934,Yes,State,Yes,No,Commercial bank,FDIC,Yes,Agricultural  Specialization
The Farmers  Bank of Osborne,458553,102 West Main Street,Osborne,Kansas,67473,www.farmersbankofosborne.com,1901,No,State,No,No,Commercial bank,FDIC,Yes,Agricultural  Specialization
The Peoples Bank,530655,222 South Main Street,Pratt,Kansas,67124,www.bellebank.com,1887,Yes,State,Yes,Yes,Commercial bank,FED,No,Agricultural  Specialization
Citizens State Bank - Midwest,947655,307 Main Street West,Cavalier,North Dakota,58220,www.csbmidwest.com,1936,No,State,No,No,Commercial bank,FDIC,Yes,Agricultural  Specialization
KodaBank,803957,104 South Main Street,Drayton,North Dakota,58225,www.kodabank.com,1916,No,State,No,No,Commercial bank,FDIC,Yes,Agricultural  Specialization
"Grand Mountain Bank, FSB",3148033,337 East Agate Avenue,Granby,Colorado,80446,www.grandmountainbank.com,2003,No,Federal,No,No,Savings Association,OCC,No,Commercial Lending Specialization
United Business Bank,3281510,500 Ygnacio Valley Road Suite 200,Walnut Creek,California,94596,www.unitedbusinessbank.com,2004,Yes,State,No,Yes,Commercial bank,FED,No,Commercial Lending Specialization
Peoples State Bank,173548,102 South Main,Albia,Iowa,52531,www.peoplesiowa.com,1987,No,State,No,No,Commercial bank,FDIC,Yes,Agricultural  Specialization
South Ottumwa Savings Bank,75446,320 Church Street,Ottumwa,Iowa,52501,www.sosb-ia.com,1903,Yes,State,Yes,No,Commercial bank,FDIC,Yes,All Other Specialization  < 1 Billion
"Farmers Deposit Bank of Middleburg, Inc.",449841,2959 Shorttown Road,Middleburg,Kentucky,42541,www.farmersdeposit.com,1904,Yes,State,No,No,Commercial bank,FDIC,Yes,Commercial Lending Specialization
The Farmers National Bank of Danville,785147,304 West Main Street,Danville,Kentucky,40422,www.fnbky.com,1879,Yes,Federal,Yes,Yes,Commercial bank,OCC,No,Commercial Lending Specialization
First National Bank and Trust,717513,202 South Main Street,London,Kentucky,40741,www.fnblondonky.com,1903,Yes,Federal,No,Yes,Commercial bank,OCC,No,Commercial Lending Specialization
Commercial Bank,497039,6710 Cumberland Gap Parkway,Harrogate,Tennessee,37752,www.cbtn.com,1976,No,State,No,Yes,Commercial bank,FED,No,Commercial Lending Specialization
Home Savings Bank,932277,275 West Federal Street,Youngstown,Ohio,44503,www.homesavings.com,2000,Yes,State,Yes,No,Commercial bank,FDIC,No,Commercial Lending Specialization
Premier Bank,981275,275 W Federal St,Youngstown,Ohio,44503,www.first-fedbanking.com,1920,Yes,State,Yes,No,Commercial bank,FDIC,No,Commercial Lending Specialization
Gwinnett Community Bank,2853358,2775 Buford Highway,Duluth,Georgia,30096,www.gwinnettcommunitybank.com,1999,No,State,No,No,Commercial bank,FDIC,No,Commercial Lending Specialization
First-Citizens Bank & Trust Company,491224,239 Fayetteville Street,Raleigh,North Carolina,27601,https://www.firstcitizens.com,1898,Yes,State,Yes,No,Commercial bank,FDIC,No,Commercial Lending Specialization
First State Bank of Mobeetie,103563,101 S. Wheeler St,Mobeetie,Texas,79061,www.fsbmobeetie.com,1906,No,State,No,No,Commercial bank,FDIC,No,Agricultural  Specialization
Happy State Bank,466857,100 East Main Street,Happy,Texas,79042,www.happybank.com,1908,Yes,State,Yes,No,Commercial bank,FDIC,No,Commercial Lending Specialization
NBW BANK,881544,210 East Main Street,Waupun,Wisconsin,53963,www.nbwbank.com,1905,No,State,No,Yes,Commercial bank,FED,No,Commercial Lending Specialization
National Exchange Bank and Trust,722544,130 South Main Street,Fond Du Lac,Wisconsin,54935,https://www.nebat.com,1933,Yes,Federal,Yes,Yes,Commercial bank,OCC,No,Commercial Lending Specialization
The Commerce Bank,3433047,320 Eagle Crest Drive,Evansville,Indiana,47715,www.bankwithcommerce.com,2006,No,State,No,No,Commercial bank,FDIC,No,Commercial Lending Specialization
INDIANA MEMBERS CREDIT UNION,215484,P.O. BOX 47769,INDIANAPOLIS,IN,46247,,1956,,,,,Credit Union,NCUA,,
Citizens Bank,535641,1021 South Main Street,Hartford,Kentucky,42347,www.citizenshartland.com,1914,No,State,No,Yes,Commercial bank,FED,No,Commercial Lending Specialization
The Cecilian Bank,982142,104 East Main,Cecilia,Kentucky,42724,www.thececilianbank.com,1903,No,State,No,No,Commercial bank,FDIC,No,Commercial Lending Specialization
Citizens State Bank of Glenville,1001451,300 West Main Street,Glenville,Minnesota,56036,www.csbglenville.com,1910,No,State,No,No,Commercial bank,FDIC,Yes,Agricultural  Specialization
Produce State Bank,24659,109 Park Ave W,Hollandale,Minnesota,56045,www.producestatebank.com,1926,No,State,No,No,Commercial bank,FDIC,Yes,Agricultural  Specialization
"South Central Bank, National Association",18135,525 West Roosevelt Road,Chicago,Illinois,60607,www.banksouthcentral.com,1966,No,Federal,No,Yes,Commercial bank,OCC,Yes,Other Specialized Lending < 1 Billion
"VERVE, A CREDIT UNION",607799,PO BOX 3046,OSHKOSH,WI,54903-3046,https://www.Verveacu.com,1938,,,,,Credit Union,NCUA,,
Pacific Global Bank,2360904,2323 South Wentworth Avenue,Chicago,Illinois,60616,www.pacificglobalbank.com,1995,No,State,No,Yes,Commercial bank,FED,No,Mortgage Lending Specialization
Royal Business Bank,3835454,1055 Wilshire Blvd. Suite 1200,Los Angeles,California,90017,www.royalbusinessbankusa.com,2008,No,State,No,No,Commercial bank,FDIC,No,Commercial Lending Specialization
Frederick County Bank,3058329,2 North Market Street,Frederick,Maryland,21701,www.fcbmd.com,2001,No,State,No,Yes,Commercial bank,FED,No,Commercial Lending Specialization
ACNB Bank,5210,16 Lincoln Square,Gettysburg,Pennsylvania,17325,www.acnb.com,1857,Yes,State,Yes,No,Commercial bank,FDIC,No,Commercial Lending Specialization
AFFINITY BANK,3118447,"400 Galleria Parkway Se, Suite 900",Atlanta,Georgia,30339,www.myaffinitybank.com,2002,No,State,No,No,Commercial bank,FDIC,No,Commercial Lending Specialization
Newton Federal Bank,321273,3175 Highway 278,Covington,Georgia,30014,www.newtonfederal.com,1928,No,Federal,No,No,Savings Association,OCC,No,Commercial Lending Specialization
Geauga Savings Bank,291273,10800 Kinsman Road,Newbury,Ohio,44065,www.geaugasavings.com,1983,No,Federal,No,No,Savings Association,FDIC,No,Commercial Lending Specialization
The Farmers National Bank of Canfield,680813,20 South Broad Street,Canfield,Ohio,44406,www.farmersbankgroup.com,1887,No,Federal,No,Yes,Commercial bank,OCC,No,Commercial Lending Specialization
Ann Arbor State Bank,3825080,125 W. William Street,Ann Arbor,Michigan,48104,www.a2sb.com,2009,No,State,No,No,Commercial bank,FDIC,No,Commercial Lending Specialization
Level One Bank,3612525,32991 Hamilton Court,Farmington Hills,Michigan,48334,,2007,No,State,No,No,Commercial bank,FDIC,No,Commercial Lending Specialization
The Bank & Trust of Bryan/College Station,3415454,"1716 Briarcrest Drive, Suite 400",Bryan,Texas,77802,www.banktbt.com,2006,No,State,No,No,Commercial bank,FDIC,No,Commercial Lending Specialization
"First Financial Bank, National Association",470050,400 Pine Street,Abilene,Texas,79601,https://www.ffin.com/,1889,Yes,Federal,No,Yes,Commercial bank,OCC,No,Commercial Lending Specialization
Bank of New Jersey,3443345,1365 Palisade Avenue,Fort Lee,New Jersey,7024,,2006,No,State,No,No,Commercial bank,FDIC,No,Commercial Lending Specialization
ConnectOne Bank,3317932,301 Sylvan Avenue,Englewood Cliffs,New Jersey,7632,www.connectonebank.com,2005,No,State,No,No,Commercial bank,FDIC,No,Commercial Lending Specialization
Union Bank of Sparta,68448,124 West Oak Street,Sparta,Wisconsin,54656,www.ubsparta.com,1934,No,State,No,No,Commercial bank,FDIC,No,Commercial Lending Specialization
River Bank,279842,145 North Main Street,Stoddard,Wisconsin,54658,,1911,No,State,No,No,Commercial bank,FDIC,Yes,Commercial Lending Specialization
First Neodesha Bank,172158,524 Main Street,Neodesha,Kansas,66757,fnb-ks.com,1872,No,State,No,Yes,Commercial bank,FED,Yes,Agricultural  Specialization
Bank of Commerce,862057,101 West Main Street,Chanute,Kansas,66720,www.boc-ks.com,1985,Yes,State,Yes,Yes,Commercial bank,FED,Yes,Agricultural  Specialization
Entegra Bank,239275,50 West Main Street,Franklin,North Carolina,28734,www.entegrabank.com,1922,No,State,No,No,Commercial bank,FDIC,No,Commercial Lending Specialization
First-Citizens Bank & Trust Company,491224,239 Fayetteville Street,Raleigh,North Carolina,27601,https://www.firstcitizens.com,1898,Yes,State,Yes,No,Commercial bank,FDIC,No,Commercial Lending Specialization
COMMUNITY BANK OF SNYDER,257466,1715 25th Street,Snyder,Texas,79549,www.cbankofsnyder.com,1905,Yes,State,No,No,Commercial bank,FDIC,No,Agricultural  Specialization
Oakwood Bank,960560,8411 Preston Road Suite 106,Dallas,Texas,75225,www.oakwoodbank.com,1900,No,State,No,No,Commercial bank,FDIC,No,Commercial Lending Specialization
Commercial State Bank,415855,127 W Main St,Cedar Bluffs,Nebraska,68015,,1935,No,State,No,No,Commercial bank,FDIC,No,Agricultural  Specialization
Community State Bank,1008450,102 Spruce Street,Colon,Nebraska,68018,,1899,No,State,No,No,Commercial bank,FDIC,No,Agricultural  Specialization
1st Bank & Trust,419255,710 South Park Drive,Broken Bow,Oklahoma,74728,www/1stbankandtrust.com,1946,Yes,State,No,Yes,Commercial bank,FED,Yes,All Other Specialization  < 1 Billion
FirstBank,296456,100 North High Street,Antlers,Oklahoma,74523,www.firstbank-ok.com,1901,No,State,No,Yes,Commercial bank,FED,Yes,All Other Specialization  < 1 Billion
Western Bank of Wolf Point,445852,111 3rd Avenue South,Wolf Point,Montana,59201,www.westernbankwp.com,1913,No,State,No,Yes,Commercial bank,FED,Yes,Agricultural  Specialization
Opportunity Bank of Montana,685676,1400 Prospect Avenue,Helena,Montana,59601,www.opportunitybank.com,1922,No,State,No,Yes,Commercial bank,FED,No,Commercial Lending Specialization
The Peoples National Bank of Mount Pleasant,484927,298 Union Street,Mount Pleasant,Ohio,43939,www.peoplesnbmp.com,1903,No,Federal,No,Yes,Commercial bank,OCC,No,Consumer Lending Specialization
Consumers National Bank,477321,614 East Lincoln Way,Minerva,Ohio,44657,www.consumersbank.com,1965,No,Federal,No,Yes,Commercial bank,OCC,No,Commercial Lending Specialization
Mechanics' Savings Bank,548203,100 Minot Avenue,Auburn,Maine,4210,www.mechanicssavings.com,1875,No,State,No,No,Savings bank,FDIC,No,Commercial Lending Specialization
Maine Community Bank,499501,254 Main Street,Biddeford,Maine,4005,www.biddefordsavings.com,1867,Yes,State,No,No,Savings bank,FDIC,No,Commercial Lending Specialization
Heritage Bank,574051,1850 Pearland Parkway,Pearland,Texas,77581,www.bankheritage.com,1985,No,State,No,Yes,Commercial bank,FED,No,Commercial Lending Specialization
"Third Coast Bank, SSB",3630323,"20202 Hwy 59 North, Suite 190",Humble,Texas,77338,www.tcbssb.com,2008,No,State,No,No,Savings bank,FDIC,No,Commercial Lending Specialization
The Midland National Bank of Newton,576653,527 N Main Street,Newton,Kansas,67114,,1893,No,Federal,No,Yes,Commercial bank,OCC,Yes,All Other Specialization  < 1 Billion
Union State Bank,227151,127 South Summit Street,Arkansas City,Kansas,67005,www.myunionstate.com,1908,No,State,No,Yes,Commercial bank,FED,Yes,Commercial Lending Specialization
Points West Community Bank,654252,809 Illinois Street,Sidney,Nebraska,69162,www.pointswbank.com,1980,No,State,No,No,Commercial bank,FDIC,Yes,Agricultural  Specialization
Points West Community Bank,444556,1291 Main Street,Windsor,Colorado,80550,www.pwcbank.com,1906,No,State,No,No,Commercial bank,FDIC,Yes,Agricultural  Specialization
Texas First State Bank,655660,400 South Highway 6,Riesel,Texas,76682,www.mytexasbank.com,1906,No,State,No,No,Commercial bank,FDIC,No,Commercial Lending Specialization
BancorpSouth Bank,606046,201 South Spring Street,Tupelo,Mississippi,38804,www.bancorpsouth.com,1876,Yes,State,Yes,No,Commercial bank,FDIC,No,Commercial Lending Specialization
Mutual of Omaha Bank,786274,"1299 Farnam Street, Suite 1550",Omaha,Nebraska,68102,www.mutualofomahabank.com,1985,Yes,Federal,Yes,No,Savings Association,OCC,No,Commercial Lending Specialization
"CIT Bank, National Association",3918898,95 South Lake Ave,Pasadena,California,91103,cit.com,2009,Yes,Federal,Yes,Yes,Commercial bank,OCC,No,Commercial Lending Specialization
Chetopa State Bank & Trust Co.,925859,409 Maple Street,Chetopa,Kansas,67336,www.csb-ks.com,1901,Yes,State,No,Yes,Commercial bank,FED,Yes,Agricultural  Specialization
Bank of Commerce,862057,101 West Main Street,Chanute,Kansas,66720,www.boc-ks.com,1985,Yes,State,Yes,Yes,Commercial bank,FED,Yes,Agricultural  Specialization
Peoples Community Bank,947628,15960 Kings Highway,Montross,Virginia,22520,,1913,No,State,No,Yes,Commercial bank,FED,No,Commercial Lending Specialization
Citizens and Farmers Bank,928421,Eighth And Main Streets,West Point,Virginia,23181,www.cffc.com,1927,Yes,State,No,No,Commercial bank,FDIC,No,Commercial Lending Specialization
Highlands Union Bank,969424,340 West Main Street,Abingdon,Virginia,24210,www.hubank.com,1985,No,State,No,Yes,Commercial bank,FED,No,Commercial Lending Specialization
First Community Bank,2353595,29 College Drive,Bluefield,Virginia,24605,www.fcbresource.com,1920,Yes,State,Yes,Yes,Commercial bank,FED,No,Commercial Lending Specialization
